# Pronouns and agreement classes
我	1sg
你	2sg
他	3Mpl
我们	1pl
他们	3Mpl
这	4sg
她	3Fpl
自己	1sg
自己	2sg
自己	2pl
自己	3Msg
自己	3Fsg
自己	3Mpl
自己	3Fpl
它	4sg
什么	4sg
那	4sg
那个	4sg
这个	4sg
你们	2pl
其	4sg
谁	3Msg
谁	3Fsg
谁	3Mpl
谁	3Fpl
大家	1pl
这样	4sg
这里	4sg
双方	3Mpl
双方	3Fpl
双方	2pl
此	4sg
您	2sg
那里	4sg
别人	3Mpl
别人	3Msg
人家	3Msg
人家	1sg
这边	4sg
哪里	4sg
这儿	4sg
那边	4sg
那儿	4sg
一切	4pl
它们	4pl
啥	4sg
这些	4pl
哪	4sg
咱	1pl
她们	3Fpl
本身	1sg
本身	1pl
本身	2sg
本身	2pl
本身	3Msg
本身	3Fsg
本身	3Mpl
本身	3Fpl
咱们	1pl
之	4sg
之	3Msg
之	3Fsg
对方	3Msg
对方	3Fsg
自身	4sg
自身	1sg
自身	1pl
自身	2sg
自身	2pl
自身	3Msg
自身	3Fsg
自身	3Mpl
自身	3Fpl
本人	1sg
本人	2sg
本人	3Msg
本人	3Fsg
俺	1sg
哪儿	4sg
嘛	4sg
以上	4pl
哪个	4sg
那样	4sg
自我	1sg
自我	1pl
自我	2sg
自我	2pl
自我	3Msg
自我	3Fsg
自我	3Mpl
自我	3Fpl
个人	1sg
个人	1pl
个人	2sg
个人	2pl
个人	3Msg
个人	3Fsg
个人	3Mpl
个人	3Fpl
什么样	4sg
各自	4sg
各自	1sg
各自	2sg
各自	3Msg
各自	3Fsg
彼此	1pl
他人	3Mpl
其他	4pl
别的	4sg
别的	4pl
各位	3Msg
各位	3Fsg
那边儿	4sg
何	4sg]
那些	4pl
有些	4pl
人	3Msg
人	3Fsg
何时	4sg
这边儿	4sg
神马	4sg
各	4sg
以下	4pl
怎样	4sg
其它	4pl
自	1sg
自	1pl
自	2sg
自	1pl
自	3Msg
自	3Fsg
自	3Mpl
自	3Fpl
个个	1pl
个个	2pl
个个	3Mpl
个个	3Fpl
哪些	4pl
己	1sg
俩	1pl
人人	3Mpl
何处	4sg
偶	1sg
相互	4pl
相互	3Mpl
相互	3Fpl
相互	2pl
那块儿	4sg
我方	1sg
其余	4pl
处处	4sg
老子	1sg
老子	3Msg
这样子	4sg
吾	1sg
孰	3Msg
怎么	4sg
我等	1pl
自家	1sg
别个	4sg
您们	2pl
所有	4pl
哪样	4sg
我們	1pl
我国	1sg
这块	4sg
下面	4pl
后者	3Msg
自个儿	1sg
自个儿	2sg
自个儿	3Msg
自个儿	3Fsg
这样儿	4sg
那样儿	4sg
何方	4sg
什麽	4sg
鄙人	1sg
这块儿	4sg
这面儿	4sg
君	2sg
俺们	1pl
什磨	4sg
到处	4pl
全部	4pl
各方	4sg
哪边	4sg
大伙	3Mpl
有人	3Msg
某人	3Msg
某人	3Fsg
某某	3Msg
谁人	3Msg
那位	3Fsg
那位	3Msg
你自己	2sg
我本身	1sg
丫	2sg
恁	3Mpl
恁	3Fpl
敝	2sg
甚	4sg
一方	4sg
他国	3Msg
你們	2pl
一边	4sg
上面	4pl
全体	3Mpl
你门	2pl
别家	4sg
各地	4sg
另我	1sg
咋们	1pl
啥么	4sg
啥样	4sg
如何	4sg
此地	4sg
那会	4sg
那块	4sg
那时	4sg
别人儿	3Mpl
别人儿	3Fpl
谁谁谁	3Msg
谁谁谁	3Fsg
这些个	4pl
上	4pl
予	1sg
亲	2sg
农	2sg
双	1pl
双	3Mpl
双	3Fpl
双	4pl
咋	4sg
嫩	2sg
彼	2sg
欧	1sg
汝	2sg
一些	4pl
一己	1sg
一己	2sg
一己	3Msg
一己	3Fsg
不才	1sg
介个	4sg
么样	4sg	
他处	4sg
他方	4sg
何地	4sg
介样	4sg
两者	4pl
两者	3Mpl
两者	3Fpl
互相	1pl
互相	2pl
互相	3Mpl
互相	3Fpl
互相	4pl
二者	4pl
偶们	1pl
你等	2pl
别处	4sg
前者	4sg
各个	4sg
各人	3Msg
前面	4pl
咱家	1pl
吾等	1pl
啥子	4sg
哪裡	4sg
哪面	4sg
尔曹	2pl
己方	4sg
我俩	1pl
您老	2sg
此处	4sg
谁们	3Mpl
谁们	3Fpl
这带	4sg
那方	4sg
這邊	4sg
那面	4sg
大家伙	1pl
我个人	1sg
这些子	4pl
那个些	4pl
